[2019-09-02 11:59:20] [INFO   ] Connecting to the MongoDB database knowingipr 
[2019-09-02 11:59:21] [INFO   ] host: jdbc:mariadb://localhost/knowingipr_knowledge?usePipelineAuth=false
username: root
password: root
driver: org.mariadb.jdbc.Driver 
[2019-09-02 12:01:54] [FINER  ] Beginning insert 
[2019-09-02 12:01:55] [FINER  ] Inserting done 
[2019-09-02 12:01:55] [FINER  ] Parsing done 
[2019-09-02 12:01:55] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_4.jsonl 
[2019-09-02 12:01:55] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_4.jsonl 
[2019-09-02 12:01:55] [FINER  ] Beginning insert 
[2019-09-02 12:01:55] [FINER  ] Inserting done 
[2019-09-02 12:01:55] [FINER  ] Parsing done 
[2019-09-02 12:01:55] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_40.jsonl 
[2019-09-02 12:01:55] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_40.jsonl 
[2019-09-02 12:01:55] [FINER  ] Beginning insert 
[2019-09-02 12:01:55] [FINER  ] Inserting done 
[2019-09-02 12:01:55] [FINER  ] Parsing done 
[2019-09-02 12:01:55] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_41.jsonl 
[2019-09-02 12:01:55] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_41.jsonl 
[2019-09-02 12:01:55] [FINER  ] Beginning insert 
[2019-09-02 12:01:55] [FINER  ] Inserting done 
[2019-09-02 12:01:55] [FINER  ] Parsing done 
[2019-09-02 12:01:55] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_42.jsonl 
[2019-09-02 12:01:55] [FINER  ] Parsing file E:\BorutStorage\Springer LOD\articles\tmpDone\article_42.jsonl 
[2019-09-02 12:01:55] [FINER  ] Beginning insert 
[2019-09-02 12:01:55] [FINER  ] Inserting done 
[2019-09-02 12:01:55] [FINER  ] Parsing done 
[2019-09-02 12:01:55] [INFO   ] Processing E:\BorutStorage\Springer LOD\articles\tmpDone\article_43.jsonl 
